genre,song_name,danceability,energy,loudness,valence,,,,,,,
Pop,"Lemonade (feat. Gunna, Don Toliver & NAV)",0.8,0.658,-6.142,0.462,,,,,,,
Pop,Laugh Now Cry Later (feat. Lil Durk),0.761,0.518,-8.871,0.522,,,,,,,
Pop,What You Know Bout Love,0.709,0.548,-8.493,0.543,,,,,,,
Pop,Dynamite,0.746,0.765,-4.41,0.737,,,,,,,
Pop,Watermelon Sugar,0.548,0.816,-4.209,0.557,,,,,,,
Pop,Lonely (with benny blanco),0.631,0.239,-7.071,0.0927,,,,,,,
Pop,Carbon,0.796,0.602,-8.033,0.612,,,,,,,
Pop,Dance Monkey,0.825,0.593,-6.401,0.54,,,,,,,
Pop,Therefore I Am,0.889,0.34,-7.773,0.716,,,,,,,
Pop,Monster (Shawn Mendes & Justin Bieber),0.652,0.383,-7.076,0.549,,,,,,,
Pop,34+35,0.83,0.585,-6.476,0.485,,,,,,,
Pop,Say So,0.787,0.673,-4.577,0.786,,,,,,,
